$ python rbmCdk.py
Training epoch 536, cost is 0.689251441437782
Training epoch 537, cost is 0.689812975058501
Training epoch 538, cost is 0.6909517053395167
Training epoch 539, cost is 0.6883161922230486
Training epoch 540, cost is 0.6764884815568429
Training epoch 541, cost is 0.6816568701245075
Training epoch 542, cost is 0.6772352527749198
Training epoch 543, cost is 0.6782788737095765
Training epoch 544, cost is 0.6830146446455688
Training epoch 545, cost is 0.6839349305079908
Training epoch 546, cost is 0.6932904395295422
Training epoch 547, cost is 0.7066602638807292
Training epoch 548, cost is 0.6995741283892377
Training epoch 549, cost is 0.6977338758491168
Training epoch 550, cost is 0.6897628133900812
Training epoch 551, cost is 0.682122258797754
Training epoch 552, cost is 0.6970206180463299
Training epoch 553, cost is 0.6966386614137489
Training epoch 554, cost is 0.6884566446875499
Training epoch 555, cost is 0.689525818492398
Training epoch 556, cost is 0.687277459725096
Training epoch 557, cost is 0.6793286573713239
Training epoch 558, cost is 0.6790874366977119
Training epoch 559, cost is 0.6783957494730183
Training epoch 560, cost is 0.672899107826086
Training epoch 561, cost is 0.6778145400902288
Training epoch 562, cost is 0.6779534387122892
Training epoch 563, cost is 0.6728375171881639
Training epoch 564, cost is 0.6623720157134008
Training epoch 565, cost is 0.6554659632712879
Training epoch 566, cost is 0.6552619635919511
Training epoch 567, cost is 0.6594705847451098
Training epoch 568, cost is 0.6607629805778309
Training epoch 569, cost is 0.6619764597201213
Training epoch 570, cost is 0.664167569613651
Training epoch 571, cost is 0.6644316248844055
Training epoch 572, cost is 0.6730173096555788
Training epoch 573, cost is 0.6668760267314594
Training epoch 574, cost is 0.6740081971849793
Training epoch 575, cost is 0.666349785751123
Training epoch 576, cost is 0.667368163672413
Training epoch 577, cost is 0.6654837823646796
Training epoch 578, cost is 0.6519683188745257
Training epoch 579, cost is 0.6493168375070745
Training epoch 580, cost is 0.652696606366789
Training epoch 581, cost is 0.6556985648166916
Training epoch 582, cost is 0.6409525209706272
Training epoch 583, cost is 0.6505480055359062
Training epoch 584, cost is 0.6463766876479299
Training epoch 585, cost is 0.6497240876023194
Training epoch 586, cost is 0.6403009709345494
Training epoch 587, cost is 0.6370889039308802
Training epoch 588, cost is 0.6397843476921965
Training epoch 589, cost is 0.6649022010548254
Training epoch 590, cost is 0.6844610612159038
Training epoch 591, cost is 0.6611631822781554
Training epoch 592, cost is 0.6631330876598182
Training epoch 593, cost is 0.651876433998167
Training epoch 594, cost is 0.6683206523907006
Training epoch 595, cost is 0.6738237224203228
Training epoch 596, cost is 0.6755248453190635
Training epoch 597, cost is 0.6646320430008381
Training epoch 598, cost is 0.6542236268921245
Training epoch 599, cost is 0.6292637341156109
Training epoch 600, cost is 0.6264452834297766
Training epoch 601, cost is 0.6332632110655917
Training epoch 602, cost is 0.653276585416717
Training epoch 603, cost is 0.6683963188248042
Training epoch 604, cost is 0.6433262068734581
Training epoch 605, cost is 0.6647350631004791
Training epoch 606, cost is 0.6398111392194098
Training epoch 607, cost is 0.6541285176657025
Training epoch 608, cost is 0.6661300283215263
Training epoch 609, cost is 0.6539065288467213
Training epoch 610, cost is 0.6582240483737446
Training epoch 611, cost is 0.6488850306991994
Training epoch 612, cost is 0.642372028979268
