============ generation 0 ===============
58 {'chromosome': '1000100010101100', 'fitness': 12}
59 {'chromosome': '1010001010111111', 'fitness': 12}
60 {'chromosome': '1011101111101110', 'fitness': 12}
61 {'chromosome': '1010111010111111', 'fitness': 12}
62 {'chromosome': '0011101111101010', 'fitness': 12}
63 {'chromosome': '1000100010101100', 'fitness': 12}
64 {'chromosome': '1000111010001000', 'fitness': 12}
65 {'chromosome': '0010101010011110', 'fitness': 12}
66 {'chromosome': '1001101000100010', 'fitness': 12}
67 {'chromosome': '1001101000101011', 'fitness': 12}
68 {'chromosome': '1010100011101001', 'fitness': 12}
69 {'chromosome': '1010101010100101', 'fitness': 12}
70 {'chromosome': '1010011011101110', 'fitness': 12}
71 {'chromosome': '1010101110111011', 'fitness': 13}
72 {'chromosome': '0010100010111010', 'fitness': 13}
73 {'chromosome': '0010101011101011', 'fitness': 13}
74 {'chromosome': '1010111010101100', 'fitness': 13}
75 {'chromosome': '1010101010100100', 'fitness': 13}
76 {'chromosome': '1010111010110010', 'fitness': 13}
77 {'chromosome': '0010101011101110', 'fitness': 13}
78 {'chromosome': '1010111010001000', 'fitness': 13}
79 {'chromosome': '1010111011101110', 'fitness': 13}
80 {'chromosome': '0010100010101011', 'fitness': 13}
81 {'chromosome': '1000101000101110', 'fitness': 13}
82 {'chromosome': '1010001010111011', 'fitness': 13}
83 {'chromosome': '1010111011101110', 'fitness': 13}
84 {'chromosome': '1010111010001000', 'fitness': 13}
85 {'chromosome': '1010111011101110', 'fitness': 13}
86 {'chromosome': '1010111010101100', 'fitness': 13}
87 {'chromosome': '1010101000001110', 'fitness': 13}
88 {'chromosome': '1010101010100111', 'fitness': 13}
89 {'chromosome': '1010111010001000', 'fitness': 13}
90 {'chromosome': '1010001010101100', 'fitness': 13}
91 {'chromosome': '1010111011101011', 'fitness': 13}
92 {'chromosome': '1010111011100010', 'fitness': 13}
93 {'chromosome': '1010101110001000', 'fitness': 13}
94 {'chromosome': '1010101011101110', 'fitness': 14}
95 {'chromosome': '1010101011101011', 'fitness': 14}
96 {'chromosome': '1010101010001000', 'fitness': 14}
97 {'chromosome': '0010101010101011', 'fitness': 14}
98 {'chromosome': '1010101010101111', 'fitness': 14}
99 {'chromosome': '1010101011101011', 'fitness': 14}
============ generation 4 ===============
0 {'chromosome': '1110111110011000', 'fitness': 10}
1 {'chromosome': '1110111111101111', 'fitness': 10}
2 {'chromosome': '0011101010100101', 'fitness': 10}
3 {'chromosome': '1110100000111111', 'fitness': 10}
4 {'chromosome': '1001101000101101', 'fitness': 10}
5 {'chromosome': '1010111010110111', 'fitness': 11}
6 {'chromosome': '1100111011101110', 'fitness': 11}
7 {'chromosome': '1110111010001100', 'fitness': 11}
8 {'chromosome': '0011101110111011', 'fitness': 11}
9 {'chromosome': '1000101001111011', 'fitness': 11}
10 {'chromosome': '1000101111101001', 'fitness': 11}
11 {'chromosome': '1010101111100001', 'fitness': 11}
12 {'chromosome': '1000110011101110', 'fitness': 11}
13 {'chromosome': '0010011011101110', 'fitness': 11}
14 {'chromosome': '1010111000001100', 'fitness': 11}
15 {'chromosome': '1010111000111111', 'fitness': 11}
16 {'chromosome': '0010101111101111', 'fitness': 11}
17 {'chromosome': '1010100011101001', 'fitness': 12}
18 {'chromosome': '1010101010100101', 'fitness': 12}
19 {'chromosome': '0010111010101100', 'fitness': 12}
20 {'chromosome': '0010111010101100', 'fitness': 12}
21 {'chromosome': '1110101110001000', 'fitness': 12}
22 {'chromosome': '1010101010100101', 'fitness': 12}
23 {'chromosome': '1000100011101110', 'fitness': 12}
24 {'chromosome': '1011101000001000', 'fitness': 12}
25 {'chromosome': '1010001010111111', 'fitness': 12}
26 {'chromosome': '0010101110111011', 'fitness': 12}
27 {'chromosome': '1000111010101100', 'fitness': 12}
28 {'chromosome': '1000101000101111', 'fitness': 12}
29 {'chromosome': '0010100010001011', 'fitness': 12}
30 {'chromosome': '1110101010001111', 'fitness': 12}
31 {'chromosome': '1010101011010010', 'fitness': 12}
32 {'chromosome': '1010101010011111', 'fitness': 12}
33 {'chromosome': '1010111110001000', 'fitness': 12}
34 {'chromosome': '1010111010100111', 'fitness': 12}
35 {'chromosome': '0010100010001011', 'fitness': 12}
36 {'chromosome': '1110101001101110', 'fitness': 12}
37 {'chromosome': '1000111010001000', 'fitness': 12}
38 {'chromosome': '1010111010001100', 'fitness': 12}
39 {'chromosome': '0010100010001000', 'fitness': 12}
40 {'chromosome': '1010011011101110', 'fitness': 12}
41 {'chromosome': '1010111010100111', 'fitness': 12}
42 {'chromosome': '0010101011101001', 'fitness': 12}
43 {'chromosome': '1000111011101110', 'fitness': 12}
44 {'chromosome': '1000101111101000', 'fitness': 12}
45 {'chromosome': '1010111010100111', 'fitness': 12}
46 {'chromosome': '1100101011101011', 'fitness': 12}
47 {'chromosome': '1000111010001110', 'fitness': 12}
48 {'chromosome': '1010100011101001', 'fitness': 12}
49 {'chromosome': '1001101000101011', 'fitness': 12}
50 {'chromosome': '1010111010111111', 'fitness': 12}
51 {'chromosome': '1010111010000011', 'fitness': 12}
52 {'chromosome': '1000111010001110', 'fitness': 12}
53 {'chromosome': '1000101000101011', 'fitness': 13}
54 {'chromosome': '1010101110011010', 'fitness': 13}
55 {'chromosome': '1011101010111011', 'fitness': 13}
56 {'chromosome': '0010101010001110', 'fitness': 13}
57 {'chromosome': '1010100010101111', 'fitness': 13}
58 {'chromosome': '1010101010011110', 'fitness': 13}
59 {'chromosome': '1010111011101000', 'fitness': 13}
60 {'chromosome': '1010101000101111', 'fitness': 13}
61 {'chromosome': '1010111010001110', 'fitness': 13}
62 {'chromosome': '0010101011101110', 'fitness': 13}
63 {'chromosome': '1010101110001000', 'fitness': 13}
64 {'chromosome': '1000101000101110', 'fitness': 13}
65 {'chromosome': '1010111011100010', 'fitness': 13}
66 {'chromosome': '1010111011101110', 'fitness': 13}
67 {'chromosome': '1000101010111011', 'fitness': 13}
68 {'chromosome': '1010111011101011', 'fitness': 13}
69 {'chromosome': '0010101010110010', 'fitness': 13}
70 {'chromosome': '1010101011001000', 'fitness': 13}
71 {'chromosome': '1010111010110010', 'fitness': 13}
72 {'chromosome': '1000101010001000', 'fitness': 13}
73 {'chromosome': '0010101010101111', 'fitness': 13}
74 {'chromosome': '1010111011101011', 'fitness': 13}
75 {'chromosome': '1010001010001000', 'fitness': 13}
76 {'chromosome': '1010001010101100', 'fitness': 13}
77 {'chromosome': '1010001010111000', 'fitness': 13}
78 {'chromosome': '1010111010001000', 'fitness': 13}
79 {'chromosome': '1010111011101110', 'fitness': 13}
80 {'chromosome': '0010100010111010', 'fitness': 13}
81 {'chromosome': '1010111011101110', 'fitness': 13}
82 {'chromosome': '0010100010111010', 'fitness': 13}
83 {'chromosome': '1010111011101110', 'fitness': 13}
84 {'chromosome': '1010100010101100', 'fitness': 13}
85 {'chromosome': '1010111011101110', 'fitness': 13}
86 {'chromosome': '0010101011101110', 'fitness': 13}
87 {'chromosome': '1010001010101100', 'fitness': 13}
88 {'chromosome': '1010101000101011', 'fitness': 14}
89 {'chromosome': '1010101011101000', 'fitness': 14}
90 {'chromosome': '1010101010101111', 'fitness': 14}
91 {'chromosome': '1010101010111011', 'fitness': 14}
92 {'chromosome': '1010101000101110', 'fitness': 14}
93 {'chromosome': '1010101011101110', 'fitness': 14}
94 {'chromosome': '1010101011101011', 'fitness': 14}
95 {'chromosome': '1010101011101110', 'fitness': 14}
96 {'chromosome': '1010111010101011', 'fitness': 14}
97 {'chromosome': '1010101010001000', 'fitness': 14}
98 {'chromosome': '1010101010101011', 'fitness': 15}
